Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Affirm,SF Bay Area,Finance,,0.01,2022-11-03,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,1500.0,IPO,2022-11-04 03:39:14,United States,Unknown
CloudKitchens,Los Angeles,Real Estate,,,2022-11-03,https://www.businessinsider.com/travis-kalanick-cloudkitchens-startup-is-cutting-jobs-2022-11,1300.0,Unknown,2022-11-04 21:23:07,United States,Unknown
LiveRamp,SF Bay Area,Marketing,,0.1,2022-11-03,https://www.marketscreener.com/quote/stock/LIVERAMP-HOLDINGS-INC-54039111/news/LIVERAMP-HOLDINGS-INC-Costs-Associated-with-Exit-or-Disposal-Activities-form-8-K-42212180/,16.0,IPO,2022-11-05 03:47:05,United States,Unknown
Provi,Chicago,Food,,,2022-11-03,https://www.chicagobusiness.com/technology/alcohol-ordering-startup-provi-sets-layoffs,150.0,Series C,2022-11-05 03:33:44,United States,Unknown
Rubius,Boston,Healthcare,,0.8200000000000001,2022-11-03,https://www.fiercebiotech.com/biotech/more-biotechs-hit-wall-rubius-lays-82-and-tricida-seeks-out-sale,445.0,IPO,2022-11-17 04:35:49,United States,Unknown
Snapdocs,SF Bay Area,Real Estate,,0.15,2022-11-03,Internal memo,253.0,Series D,2022-11-05 03:49:38,United States,Unknown
Studio,SF Bay Area,Education,,,2022-11-03,https://www.linkedin.com/feed/update/urn:li:activity:6993982210890485760/,50.0,Series B,2022-11-05 03:44:56,United States,https://docs.google.com/spreadsheets/d/1fsGXTNfMWJcpbEHFz0hXifyNCMKnxo9VOoofDf7MCXI/edit
Opendoor,SF Bay Area,Real Estate,550,0.18,2022-11-02,https://www.bloomberg.com/news/articles/2022-11-02/opendoor-lays-off-18-of-workers-in-wave-of-housing-cutbacks,1900.0,IPO,2022-11-02 17:07:34,United States,https://coda.io/@opendoorosn/opendoor-os-national-talent-board
Chime,SF Bay Area,Finance,156,0.12,2022-11-02,https://www.theinformation.com/articles/chime-slashes-12-of-staff-marking-latest-casualty-in-fintech-meltdown,2300.0,Series G,2022-11-02 17:29:00,United States,Unknown
Chargebee,SF Bay Area,Finance,142,0.1,2022-11-02,https://techcrunch.com/2022/11/02/tiger-global-chargebee-layoffs/,468.0,Series H,2022-11-03 04:24:31,United States,Unknown
Dapper Labs,Vancouver,Crypto,134,0.22,2022-11-02,https://betakit.com/dapper-labs-lays-off-22-percent-of-staff/,607.0,Series D,2022-11-03 04:18:43,United States,Unknown
Checkmarx,Tel Aviv,Security,100,0.1,2022-11-02,https://www.calcalistech.com/ctechnews/article/hjailhyri,92.0,Series C,2022-11-02 17:11:01,Israel,Unknown
Smava,Berlin,Finance,100,0.15,2022-11-02,https://www.businessinsider.de/gruenderszene/fintech/smava-entlassungen-oktober/,188.0,Unknown,2022-11-03 04:29:36,Germany,Unknown
Iron Ox,SF Bay Area,Food,50,0.5,2022-11-02,https://techcrunch.com/2022/11/03/iron-ox-lays-off-50-amounting-to-nearly-half-its-staff/,103.0,Series C,2022-11-03 04:27:09,United States,Unknown
Digital Currency Gruop,Stamford,Crypto,10,0.13,2022-11-02,https://www.coindesk.com/business/2022/11/02/digital-currency-group-promotes-mark-murphy-to-president-cuts-nearly-13-staff-report/,,Unknown,2022-11-03 05:00:29,United States,Unknown
BitMEX,Non-U.S.,Crypto,,0.3,2022-11-02,https://www.theblock.co/post/181814/crypto-exchange-bitmex-cuts-part-of-workforce-following-ceo-departure-exclusive,0.0,Seed,2022-11-03 04:28:32,Seychelles,Unknown
Signicat,Trondheim,Security,,,2022-11-02,https://www.signicat.com/press-releases/signicat-to-realize-cost-synergies,8.0,Acquired,2022-11-07 19:11:58,Norway,Unknown
Booking.com,Grand Rapids,Travel,226,,2022-11-01,https://www.crainsdetroit.com/west-michigan/bookingcom-close-grand-rapids-area-facility-lay-226,,Acquired,2022-11-03 04:16:26,United States,Unknown
Oracle,SF Bay Area,Other,200,,2022-11-01,https://www.businessinsider.com/oracle-cloud-infrastructure-layoffs-200-employees-2022-11?IR=T,,IPO,2022-11-17 00:45:58,United States,Unknown
Upstart,SF Bay Area,Finance,140,0.07,2022-11-01,https://techcrunch.com/2022/11/01/upstart-layoffs/,144.0,IPO,2022-11-01 19:40:37,United States,Unknown
Gem,SF Bay Area,Recruiting,100,0.33,2022-11-01,https://www.theinformation.com/briefings/recruiting-startup-gem-cuts-a-third-of-workforce,148.0,Series C,2022-11-01 19:35:06,United States,https://docs.google.com/spreadsheets/d/1bSFzwARd-KjyX677pudvqPijebPZGzPTQKuv_wNOxTg/edit
Oda,Oslo,Food,70,0.18,2022-11-01,https://www.dn.no/handel/oda/oda-kutter-70-arsverk-ma-ha-ny-milliardinnsproytning/2-1-1344693?zephr_sso_ott=mwDa9x,377.0,Unknown,2022-11-01 19:44:28,Sweden,Unknown
Oda,Oslo,Food,70,0.18,2022-11-01,https://shifter.no/nyheter/oda-sparker-70-og-henter-15-milliarder-kroner/262587,477.0,Unknown,2022-11-11 00:08:50,Norway,Unknown
Oda,Oslo,Food,70,0.06,2022-11-01,https://norway.postsen.com/local/62256/Oda-lays-off-employees-to-collect-billions-of-dollars-%E2%80%93-E24.html,479.0,Unknown,2022-11-30 06:08:48,Norway,Unknown
Hootsuite,Vancouver,Marketing,50,0.05,2022-11-01,Internal memo,300.0,Series C,2022-11-01 19:42:39,Canada,Unknown
Drop,Toronto,Marketing,24,,2022-11-01,Internal memo,56.0,Series B,2022-11-03 04:31:06,Canada,Unknown
Brightline,SF Bay Area,Healthcare,,0.2,2022-11-01,https://bhbusiness.com/2022/11/01/virtual-pediatric-behavioral-health-startup-brightline-cuts-20-of-its-staff/,212.0,Series C,2022-11-01 19:46:59,United States,Unknown
Help Scout,Boston,Support,,,2022-11-01,https://www.linkedin.com/feed/update/urn:li:activity:6992877901922590720/,28.0,Series B,2022-11-12 03:03:36,United States,https://docs.google.com/spreadsheets/d/1dKA1LLnx2xrqYJJKV4z6IYXyicjQP8PDmodGOtOK1i8/edit#gid=0
Kry,Stockholm,Healthcare,300,0.1,2022-10-31,https://www.dn.se/ekonomi/kry-sager-upp-runt-300-anstallda/,568.0,Series D,2022-11-01 19:38:58,Sweden,Unknown
Notarize,Boston,Legal,60,,2022-10-31,https://www.bizjournals.com/boston/news/2022/10/31/notarize-another-round-layoffs-this-year.html,213.0,Series D,2022-11-01 04:02:41,United States,Unknown
EquityZen,New York City,Finance,30,0.27,2022-10-31,https://www.axios.com/2022/10/31/scoop-layoffs-hit-startup-stock-marketplace-equityzen,11.0,Series B,2022-11-01 03:59:31,United States,Unknown
Equitybee,SF Bay Area,Finance,25,0.2,2022-10-31,https://www.calcalistech.com/ctechnews/article/hkrqontns,85.0,Series B,2022-10-31 15:30:11,United States,Unknown
Dukaan,Bengaluru,Retail,23,,2022-10-31,https://www.vccircle.com/saasplatform-dukaan-lays-off-23-employees,17.0,Series A,2022-10-31 15:31:46,India,Unknown
Fifth Season,Pittsburgh,Food,100,1.0,2022-10-28,https://www.bizjournals.com/pittsburgh/news/2022/10/29/vertical-farming-startup-fifth-season-shuts-down.html,35.0,Series B,2022-10-30 16:10:45,United States,Unknown
Advata,Seattle,Healthcare,32,0.21,2022-10-28,https://www.geekwire.com/2022/seattle-area-health-data-analytics-company-advata-lays-off-employees/,,Unknown,2022-10-31 15:28:43,United States,Unknown
Springlane,Düsseldorf,Food,,0.35000000000000003,2022-10-28,https://www.linkedin.com/posts/marius-till-fritzsche-4535214_90-30-40-das-ist-unser-wachstum-der-activity-6991732141092970496-owuK/,11.0,Series C,2022-10-28 16:06:20,Germany,Unknown
RenoRun,Montreal,Construction,210,0.43,2022-10-27,https://www.theglobeandmail.com/business/article-renorun-canadian-tech-layoffs/,163.0,Series B,2022-10-28 15:47:37,Canada,Unknown
Recharge,Los Angeles,Finance,84,0.17,2022-10-27,https://rechargepayments.com/blog/a-message-from-oisin/,277.0,Series B,2022-10-28 16:04:33,United States,https://docs.google.com/spreadsheets/d/1wEaAOfEJGbW8xwHhgxmRQEnb_GKE05KmI9ZgiaDSkiY/edit#gid=1480424750
Lattice,SF Bay Area,HR,13,,2022-10-27,Internal memo,328.0,Series F,2022-11-03 04:21:45,United States,Unknown
GoNuts,Mumbai,Media,,1.0,2022-10-27,https://inc42.com/buzz/celebrity-engagement-startup-gonuts-shut-operations/,,Seed,2022-10-30 16:13:08,India,Unknown
Spreetail,Austin,Retail,,,2022-10-27,https://www.wearespreetail.com/blog/a-message-from-global-ceo-brett-thome,,Unknown,2022-10-28 16:05:16,United States,Unknown
MindBody,San Luis Obispo,Fitness,400,0.15,2022-10-26,https://www.sanluisobispo.com/news/business/article267890657.html,114.0,IPO,2022-10-26 23:22:40,United States,Unknown
Zillow,Seattle,Real Estate,300,0.05,2022-10-26,https://techcrunch.com/2022/10/26/zillow-layoff-300-employees/,97.0,IPO,2022-10-26 17:36:15,United States,Unknown
Cybereason,Boston,Security,200,0.17,2022-10-26,https://www.calcalistech.com/ctechnews/article/sjspj00uvs,750.0,Series F,2022-10-26 15:10:46,United States,Unknown
Argo AI,Pittsburgh,Transportation,173,1.0,2022-10-26,https://www.autonews.com/mobility-report/argo-ai-lay-173-startup-folds,3600.0,Unknown,2022-10-26 23:23:28,United States,Unknown
GoFundMe,SF Bay Area,Finance,94,0.12,2022-10-26,https://www.gofundme.com/c/announcement,,Series A,2022-10-26 23:13:47,United States,Unknown
Fundbox,SF Bay Area,Finance,150,0.42,2022-10-25,https://www.calcalistech.com/ctechnews/article/sypou4svi,553.0,Series D,2022-10-25 15:14:28,United States,Unknown
Embroker,SF Bay Area,Finance,30,0.12,2022-10-25,https://www.theinsurer.com/news/insurtech-embroker-lays-off-12-of-global-workforce/25922.article,142.0,Series C,2022-10-26 23:20:50,United States,Unknown
Vee,Tel Aviv,HR,17,0.5,2022-10-25,https://www.calcalistech.com/ctechnews/article/hju1ylrnj,15.0,Seed,2022-10-25 15:16:16,Israel,Unknown
Callisto Media,SF Bay Area,Media,,0.35000000000000003,2022-10-25,https://www.publishersweekly.com/pw/by-topic/industry-news/publisher-news/article/90722-after-massive-july-layoff-callisto-media-cuts-staff-further.html,,Series D,2022-10-26 04:33:43,United States,Unknown
Convoy,Seattle,Logistics,,,2022-10-25,https://www.geekwire.com/2022/convoy-lays-off-more-employees-as-part-of-reorganization-at-seattle-trucking-startup/,1100.0,Series E,2022-10-25 15:13:12,United States,https://coda.io/d/Talent-Board_dN7cqX2rCM4/Candidates_suM29
Cerebral,SF Bay Area,Healthcare,400,0.2,2022-10-24,https://techcrunch.com/2022/10/24/telehealth-unicorn-cerebral-lays-off-20-of-staff-for-operational-efficiencies/,462.0,Series C,2022-10-24 22:30:37,United States,Unknown
Snyk,Boston,Security,198,0.14,2022-10-24,https://en.globes.co.il/en/article-cybersecurity-co-snyk-laying-off-14-of-workforce-1001427487,849.0,Series F,2022-10-24 15:31:26,United States,Unknown
McMakler,Berlin,Real Estate,100,,2022-10-24,https://www.businessinsider.de/gruenderszene/business/mcmakler-neue-massenentlassungen-oktober-2022/,214.0,Unknown,2022-10-25 15:19:08,Germany,Unknown
OrCam,Jerusalem,Healthcare,62,0.16,2022-10-23,https://www.calcalistech.com/ctechnews/article/ry5v11kgvo,86.0,Unknown,2022-10-24 02:19:31,Israel,Unknown
Antidote Health,Tel Aviv,Healthcare,23,0.38,2022-10-23,https://www.calcalistech.com/ctechnews/article/s1xwokmvi,36.0,Unknown,2022-10-24 02:20:40,Israel,Unknown
Khoros,Austin,Sales,120,0.1,2022-10-21,https://www.bizjournals.com/austin/inno/stories/news/2022/10/21/report-layoffs-at-khoros.html,138.0,Private Equity,2022-10-22 15:59:02,United States,Unknown
F5,Seattle,Security,100,0.01,2022-10-21,https://www.geekwire.com/2022/f5-cutting-fewer-than-100-jobs-due-to-current-macroeconomic-environment/,,IPO,2022-11-17 04:21:12,United States,Unknown
Elinvar,Berlin,Finance,43,0.33,2022-10-21,https://financefwd.com/de/elinvar-entlassungen-funding/,30.0,Unknown,2022-10-24 02:23:26,Germany,Unknown
Synapsica,New Delhi,Healthcare,30,0.3,2022-10-21,https://yourstory.com/2022/10/healthtech-startup-synapsica-layoffs-30-people-workforce/amp,4.0,Series A,2022-10-22 03:29:29,India,Unknown
Volta,SF Bay Area,Transportation,,0.54,2022-10-21,https://investors.voltacharging.com/news/news-details/2022/Volta-Provides-Update-on-Business-Realignment/default.aspx,575.0,IPO,2022-10-22 03:42:11,United States,Unknown
Hotmart,Belo Horizonte,Marketing,227,0.12,2022-10-20,https://www.bloomberglinea.com/english/brazils-tcv-backed-hotmart-cuts-12-of-staff-amid-drop-in-operational-efficiency/,127.0,Series C,2022-10-22 03:31:53,Brazil,Unknown
Zeus Living,SF Bay Area,Real Estate,64,0.46,2022-10-20,https://www.bizjournals.com/sanfrancisco/news/2022/10/20/zeus-living-egomotion-layoffs-flexliving-startup.html,151.0,Series C,2022-10-21 02:23:15,United States,Unknown
Loom,SF Bay Area,Product,23,0.11,2022-10-20,https://www.sfgate.com/bayarea/article/sf-based-loom-video-tech-unicorn-layoffs-17522993.php,203.0,Series C,2022-10-20 21:56:52,United States,Unknown
Sales Boomerang,Baltimore,Sales,20,,2022-10-20,https://www.housingwire.com/articles/layoffs-hit-sales-boomerang-mortgage-coach/,5.0,Private Equity,2022-11-01 04:03:48,United States,Unknown
Arrival,London,Transportation,,,2022-10-20,https://www.ft.com/content/5278ba4a-49c0-4e99-bed1-68adfa658c62,629.0,IPO,2022-10-22 03:27:15,United Kingdom,Unknown
Roofstock,SF Bay Area,Real Estate,,0.2,2022-10-20,https://www.sfgate.com/realestate/article/Controversial-Bay-Area-real-estate-unicorn-17525874.php,365.0,Series E,2022-10-22 03:39:20,United States,Unknown
Starry,Boston,Other,,0.5,2022-10-20,https://investors.starry.com/news/news-details/2022/Starry-Announces-Strong-Third-Quarter-2022-Operational-Results-Takes-Cost-Cutting-Measures-to-Conserve-Capital-as-It-Explores-Strategic-Options/default.aspx,260.0,IPO,2022-10-20 21:14:08,United States,https://docs.google.com/spreadsheets/d/1rmKxXAUxQpZN95iqtZaFj8P03sLUXDPfQmj_jqXHRuw/edit
Gopuff,Philadelphia,Food,250,,2022-10-19,https://www.bloomberg.com/news/articles/2022-10-19/gopuff-fires-hundreds-more-staff-in-third-round-of-layoffs,3400.0,Series H,2022-10-20 23:17:54,United States,Unknown
AtoB,SF Bay Area,Finance,32,0.3,2022-10-19,https://www.sfgate.com/bayarea/article/atob-lays-off-30-staff-17518327.php,177.0,Series B,2022-10-19 16:00:36,United States,Unknown
InfoSum,London,Security,20,0.12,2022-10-19,https://www.businessinsider.com/infosum-lays-off-approximately-20-staff-amid-economic-uncertainty-2022-10,88.0,Series B,2022-11-10 23:11:27,United Kingdom,Unknown
Clever Real Estate,St. Louis,Real Estate,,,2022-10-19,https://www.bizjournals.com/stlouis/inno/stories/news/2022/10/19/clever-real-estate-layoffs-housing-market-slowdown.html,13.0,Series B,2022-10-20 23:19:32,United States,Unknown
Collibra,Brussels,Data,,,2022-10-19,Internal memo,596.0,Series G,2022-11-03 14:52:32,Belgium,Unknown
Side,SF Bay Area,Real Estate,,,2022-10-19,https://therealdeal.com/la/2022/10/19/white-label-brokerage-side-confirms-new-round-of-layoffs/,313.0,Unknown,2022-11-07 19:10:19,United States,Unknown
Faire,SF Bay Area,Retail,84,0.07,2022-10-18,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,1700.0,Series G,2022-11-04 03:40:25,United States,Unknown
Leafly,Seattle,Retail,56,0.21,2022-10-18,https://investor.leafly.com/news/news-details/2022/Leafly-Announces-Cost-Reductions-to-Strengthen-Financial-Profile/default.aspx,71.0,IPO,2022-10-19 16:03:30,United States,Unknown
Ada Health,Berlin,Healthcare,50,,2022-10-17,Internal memo,189.0,Series B,2022-10-26 15:08:03,Germany,https://docs.google.com/spreadsheets/d/17eflEBvwWIpHXrPE0S2S3rshzGKnBfJ5ikH4QAz3pfA/edit
Tiendanube,Buenos Aires,Marketing,50,0.05,2022-10-17,https://tekiosmag.com/2022/10/17/unicornio-tiendanube-reduce-sus-operaciones-y-despide-al-5-de-su-plantilla/,,Unknown,2022-11-06 18:23:06,Argentina,Unknown
Microsoft,Seattle,Other,,,2022-10-17,https://www.cnbc.com/2022/10/18/microsoft-confirms-job-cuts-after-calling-for-growth-to-slow.html,1.0,IPO,2022-11-15 04:54:07,United States,Unknown
Nuri,Berlin,Crypto,,1.0,2022-10-17,https://www.crunchbase.com/organization/bitwala,42.0,Series B,2022-10-19 16:04:32,Germany,Unknown
Flipboard,SF Bay Area,Media,24,0.21,2022-10-16,https://www.axios.com/2022/10/17/flipboard-layoffs-21-percent-staff,235.0,Unknown,2022-10-20 21:10:45,United States,Unknown
Clear Capital,SF Bay Area,Real Estate,378,0.27,2022-10-14,https://techcrunch.com/2022/10/14/clear-capital-lays-off-27-of-its-global-staff/,,Unknown,2022-10-15 19:27:22,United States,Unknown
Beyond Meat,Los Angeles,Food,200,0.19,2022-10-14,https://www.cnbc.com/2022/10/14/beyond-meat-to-cut-19percent-of-its-workforce-as-sales-stock-struggle.html,122.0,IPO,2022-10-14 15:20:57,United States,https://docs.google.com/spreadsheets/d/1cfVN7I0kN-ba1l54DU20aigdL0MTewrv28rLnZFAQ6o/edit
Flux Systems,London,Finance,,1.0,2022-10-14,https://www.finextra.com/newsarticle/41132/flux-shuts-down-digital-receipts-network/payments,9.0,Unknown,2022-10-15 02:21:57,United Kingdom,Unknown
Qin1,Noida,Education,,1.0,2022-10-14,https://inc42.com/buzz/exclusive-mayhem-in-edtech-sector-continues-coding-startup-qin1-shuts-down/,,Seed,2022-10-15 02:20:42,India,Unknown
Salesforce,SF Bay Area,Sales,90,,2022-10-13,https://www.protocol.com/bulletins/salesforce-layoffs-hiring-freeze,65.0,IPO,2022-10-14 00:15:15,United States,Unknown
Playdots,New York City,Consumer,65,1.0,2022-10-13,https://www.theverge.com/2022/10/13/23403055/take-two-playdots-shut-down-close-two-dots-garden-tails,10.0,Acquired,2022-11-05 03:52:49,United States,Unknown
ExtraHop,Seattle,Security,,,2022-10-13,https://www.bizjournals.com/seattle/inno/stories/news/2022/10/13/extrahop-layoffs-2022-growing-sales.html,61.0,Series C,2022-10-15 02:18:47,United States,Unknown
Byju's,Bengaluru,Education,2500,0.05,2022-10-12,https://techcrunch.com/2022/10/12/indian-edtech-giant-byjus-cuts-2500-jobs/,5500.0,Private Equity,2022-10-12 19:59:53,India,Unknown
6sense,SF Bay Area,Sales,150,0.1,2022-10-12,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,426.0,Series E,2022-10-14 15:21:45,United States,Unknown
FrontRow,Bengaluru,Education,130,0.75,2022-10-12,https://entrackr.com/2022/10/exclusive-frontrow-lays-off-75-of-workforce/,17.0,Series A,2022-10-13 04:25:19,India,https://docs.google.com/spreadsheets/d/1bbwtwcD6ftk9ZBZtF-4W4LJ5OU6UH_W1vdkCdPz78hQ/edit#gid=0
Noom,New York City,Healthcare,500,0.1,2022-10-11,https://techcrunch.com/2022/10/11/noom-tech-layoffs-diet-app/,657.0,Series F,2022-10-12 03:36:23,United States,Unknown
MX,Lehi,Finance,200,,2022-10-11,https://www.sltrib.com/news/2022/10/19/lehi-tech-company-mx-has-laid/,450.0,Series C,2022-10-12 20:01:25,United States,https://docs.google.com/spreadsheets/d/1_v1SdSE16SLkY4qFm0JOP2-ff-jOYt0-blxPrdAqEPo/edit
Brex,SF Bay Area,Finance,136,0.11,2022-10-11,https://techcrunch.com/2022/10/11/fintech-brex-layoffs-restructuring/,1500.0,Series D,2022-10-11 18:40:04,United States,Unknown
Pacaso,SF Bay Area,Real Estate,100,0.3,2022-10-11,https://therealdeal.com/2022/10/13/pacaso-lays-off-100-workers-over-worries-of-a-pending-recession/,217.0,Series C,2022-10-13 04:22:31,United States,Unknown
Sketch,The Hague,Other,80,,2022-10-11,https://www.linkedin.com/posts/sketchbv_its-with-heavy-hearts-that-we-share-some-activity-6985543891869429760-s8Az/,20.0,Series A,2022-10-11 15:12:37,Netherlands,https://docs.google.com/spreadsheets/d/1qO1fXpOpStTMpr9m1I6k7-7XegeZZUqHzNPQ0W6TMx8/edit#gid=457261764
Udacity,SF Bay Area,Education,55,0.13,2022-10-11,https://www.udacity.com/blog/2022/10/a-note-from-sebastian.html,235.0,Unknown,2022-10-11 15:14:13,United States,Unknown
Linkfire,Copenhagen,Marketing,35,0.35000000000000003,2022-10-11,https://view.news.eu.nasdaq.com/view?id=bc7bad5005a84b17bcf95ce24675c058c&lang=en,2.0,Seed,2022-10-26 15:14:46,Denmark,Unknown
Emitwise,London,Energy,,,2022-10-11,https://www.businessinsider.com/london-based-carbon-accounting-startup-emitwise-cuts-jobs-2022-10,16.0,Series A,2022-10-13 02:08:57,United Kingdom,Unknown
GSR,Hong Kong,Crypto,,,2022-10-11,https://www.coindesk.com/business/2022/10/11/market-maker-gsr-cuts-staff-amid-crypto-winter/,,Unknown,2022-10-12 03:41:52,Hong Kong,Unknown
VanHack,Vancouver,HR,,,2022-10-11,https://www.linkedin.com/posts/ilyabrotzky_today-was-a-really-tough-day-at-vanhack-activity-6985704824071753730-zpcX/,,Seed,2022-10-14 00:18:36,United States,https://docs.google.com/spreadsheets/d/1n4-D_GfUGZWsbxZbFpapmoQ6W7WmZhf4F07qmA9hx5Y/htmlview
HelloFresh,SF Bay Area,Food,611,,2022-10-10,https://www.businessinsider.com/meal-kit-maker-hellofresh-to-lay-off-600-closes-california-facility-2022-10,367.0,IPO,2022-10-16 01:26:57,United States,Unknown
Momentive,SF Bay Area,Marketing,180,0.11,2022-10-10,https://www.sec.gov/ix?doc=/Archives/edgar/data/1739936/000095017022019536/mntv-20221010.htm,1100.0,IPO,2022-10-13 15:47:54,United States,https://docs.google.com/spreadsheets/d/1bb8_Y159F9XJVwB7iUOSaMO4tyvVPx7b/edit#gid=978594496
Pavilion Data,SF Bay Area,Infrastructure,96,0.96,2022-10-10,https://blocksandfiles.com/2022/10/10/pavilion-data-crashes-last-nvme-over-fabrics-array-startup-has-died/,103.0,Series D,2022-10-25 15:17:26,United States,Unknown
Redesign Health,New York City,Healthcare,67,0.2,2022-10-10,https://www.fastcompany.com/90794350/scoop-redesign-health-lays-off-67-employees-a-month-after-raising-65-million,315.0,Series C,2022-10-10 22:51:32,United States,Unknown
Nyriad,Austin,Infrastructure,,0.33,2022-10-10,https://blocksandfiles.com/2022/10/13/another-one-is-biting-dust-as-nyriad-undergoes-major-layoffs/,58.0,Unknown,2022-10-25 15:18:36,United States,Unknown
BioMarin,SF Bay Area,Healthcare,120,0.04,2022-10-07,https://www.fiercebiotech.com/biotech/biomarin-lays-120-employees-save-50m-year-us-hit-hardest,585.0,IPO,2022-11-19 23:58:48,United States,Unknown
Rev.com,Austin,Data,85,,2022-10-07,https://www.statesman.com/story/business/technology/2022/10/11/austin-based-rev-com-will-lay-off-85-to-cut-costs/69553800007/,30.0,Series D,2022-10-12 03:38:09,United States,Unknown
Crypto.com,Singapore,Crypto,2000,0.3,2022-10-06,https://www.techinasia.com/cryptocom-lays-2000-employees-dials-marketing-efforts,156.0,Unknown,2022-10-07 23:31:49,Singapore,Unknown
Peloton,New York City,Fitness,500,0.12,2022-10-06,https://www.wsj.com/articles/peloton-to-cut-another-500-jobs-in-last-bid-for-turnaround-11665011471,1900.0,IPO,2022-10-06 15:44:00,United States,Unknown
Landing,Birmingham,Real Estate,110,,2022-10-06,https://www.al.com/news/birmingham/2022/10/landing-laying-off-70-jobs-in-birmingham-but-still-committed-to-growing-in-alabama.html,347.0,Series C,2022-10-07 02:12:26,United States,Unknown
Turnitin,SF Bay Area,Education,51,0.05,2022-10-06,Internal memo,,Acquired,2022-10-08 03:37:42,United States,Unknown
Impossible Foods,SF Bay Area,Food,50,0.06,2022-10-06,https://www.sfgate.com/local/article/impossible-foods-more-layoffs-17494557.php,1900.0,Series H,2022-10-07 23:27:45,United States,Unknown
Atome,Singapore,Finance,,,2022-10-06,https://www.techinasia.com/atome-cuts-staff-indonesias-bnpl-p2p-divisions,645.0,Unknown,2022-11-27 23:42:29,Singapore,Unknown
First AML,Auckland,Finance,,,2022-10-06,https://www.stuff.co.nz/business/130086557/bloodbath-awardwinning-tech-startup-firstaml-makes-sudden-restructure-announcement,29.0,Series B,2022-10-07 02:10:24,New Zealand,Unknown
Foresight Insurance,SF Bay Area,Finance,,0.4,2022-10-06,https://news.ambest.com/newscontent.aspx?refnum=244982&altsrc=176,58.0,Series B,2022-12-01 06:19:59,United States,Unknown
Spotify,Stockholm,Media,,,2022-10-06,https://techcrunch.com/2022/10/06/spotify-cancels-11-original-podcasts-lays-off-under-5-of-staff/,2100.0,IPO,2022-10-07 02:18:18,Sweden,Unknown
Built In,Chicago,Recruiting,50,0.25,2022-10-05,https://www.chicagobusiness.com/technology/built-lays-quarter-its-staff,29.0,Series C,2022-10-05 15:53:39,United States,https://docs.google.com/spreadsheets/d/1P2a3aI5xG_qTIrqF5Ci9o_PQsF2r-Sp80tPzE_lt1Wg/edit
TwinStrand,Seattle,Healthcare,,0.5,2022-10-05,https://www.genomeweb.com/business-news/twinstrand-biosciences-lays-nearly-50-percent-workforce#.Yz-KSOzMK8A,73.0,Series B,2022-10-07 02:09:18,United States,Unknown
Homie,Salt Lake City,Real Estate,40,0.13,2022-10-04,https://therealdeal.com/2022/10/05/homie-ceo-departs-as-startup-lays-off-more-employees/,35.0,Series B,2022-10-06 04:46:30,United States,Unknown
Fivetran,SF Bay Area,Data,,0.05,2022-10-04,Internal memo,,Series D,2022-10-05 03:04:05,United States,Unknown
Xendit,Jakarta,Finance,,0.05,2022-10-04,https://www.techinasia.com/xendit-lay-off-indonesia-philippines,534.0,Series D,2022-10-05 15:51:42,Indonesia,Unknown
Zoomo,Sydney,Transportation,,0.16,2022-10-04,https://www.ridezoomo.com/blog/building-a-more-resilient-business-for-2023,105.0,Series B,2022-10-05 03:02:43,Australia,Unknown
ActiveCampaign,Chicago,Marketing,,0.15,2022-10-03,LinkedIn,360.0,Series C,2022-10-07 18:46:50,United States,Unknown
Tempo,SF Bay Area,Fitness,,,2022-10-03,Internal memo,298.0,Series C,2022-10-08 03:35:40,United States,https://docs.google.com/spreadsheets/d/1Yw7WKuJ7aN0SSPKjlvPP5SpnEeq54ZxukPNOjSxydqE/edit
WazirX,Mumbai,Crypto,60,0.4,2022-10-02,https://economictimes.indiatimes.com/tech/technology/indian-crypto-exchange-wazirx-fires-40-of-staff-report/articleshow/94603700.cms,,Acquired,2022-10-02 21:04:48,India,https://drive.google.com/drive/folders/1QtEHVScWtTQgMAn_jTRmcESzxZLhu5zp
Spin,SF Bay Area,Transportation,78,0.1,2022-09-30,https://techcrunch.com/2022/10/03/tier-mobility-owned-spin-lays-off-about-10-of-workforce-exits-two-markets/,8.0,Acquired,2022-10-03 20:21:43,United States,Unknown
Carsome,Kuala Lumpur,Transportation,,0.1,2022-09-30,https://www.techinasia.com/carsome-lay-10-staff-execs-forgo-salaries,607.0,Series E,2022-09-30 23:45:46,Malaysia,Unknown
Pastel,SF Bay Area,Food,,1.0,2022-09-30,https://purplelist.discoverpastel.com/pausing-service-future-plans/,,Unknown,2022-10-08 03:40:58,United States,https://docs.google.com/spreadsheets/d/1-V7ztfcfUId-ppjfqSX-3Gs0FRyNfL0ya0g98UMHKZM/edit
Truepill,SF Bay Area,Healthcare,,,2022-09-30,https://techcrunch.com/2022/09/29/truepill-a-digital-health-unicorn-conducts-fourth-round-of-layoffs-in-2022/,255.0,Series D,2022-09-30 20:20:09,United States,Unknown
